subject,file,task,n_volumes,onset,duration,trial_type,stim_file
sub-333,sub-333_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
sub-334,sub-334_task-notthefalllongscram_bold.nii.gz,notthefalllongscram,400,"4.5,29.5","22.0,547.0","music,story","notthefalllongscram_audio.wav,notthefalllongscram_audio.wav"
sub-334,sub-334_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-335,sub-335_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-335,sub-335_task-notthefalllongscram_bold.nii.gz,notthefalllongscram,400,"4.5,29.5","22.0,547.0","music,story","notthefalllongscram_audio.wav,notthefalllongscram_audio.wav"
sub-336,sub-336_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
sub-336,sub-336_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-337,sub-337_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-337,sub-337_task-notthefalllongscram_bold.nii.gz,notthefalllongscram,400,"4.5,29.5","22.0,547.0","music,story","notthefalllongscram_audio.wav,notthefalllongscram_audio.wav"
sub-338,sub-338_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
sub-338,sub-338_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-339,sub-339_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-339,sub-339_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
sub-340,sub-340_task-notthefalllongscram_bold.nii.gz,notthefalllongscram,400,"4.5,29.5","22.0,547.0","music,story","notthefalllongscram_audio.wav,notthefalllongscram_audio.wav"
sub-340,sub-340_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-341,sub-341_task-notthefalllongscram_bold.nii.gz,notthefalllongscram,400,"4.5,29.5","22.0,547.0","music,story","notthefalllongscram_audio.wav,notthefalllongscram_audio.wav"
sub-341,sub-341_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-342,sub-342_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
sub-342,sub-342_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-343,sub-343_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-343,sub-343_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
sub-344,sub-344_task-notthefalllongscram_bold.nii.gz,notthefalllongscram,400,"4.5,29.5","22.0,547.0","music,story","notthefalllongscram_audio.wav,notthefalllongscram_audio.wav"
sub-344,sub-344_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-345,sub-345_task-notthefallintact_bold.nii.gz,notthefallintact,400,"4.5,29.5","22.0,547.0","music,story","notthefallintact_audio.wav,notthefallintact_audio.wav"
sub-345,sub-345_task-notthefallshortscram_bold.nii.gz,notthefallshortscram,400,"4.5,29.5","22.0,547.0","music,story","notthefallshortscram_audio.wav,notthefallshortscram_audio.wav"
